fid,pid,area (ft2),total ic (ft2),buildings (ft2),"% IC, Total",% IC as buildings
1,12303605,112705.00,99406.00,79647.77,88.20,80.10
2,16908209,44391.00,28268.00,4353.00,63.70,15.40
3,22325303,448765.00,222227.00,56420.00,49.50,25.40
5,20924302,474712.00,314629.00,151728.00,66.30,48.20
10,11907135,13434.00,6624.00,0.00,49.30,0.00
11,12103313,50934.00,20831.00,20828.00,40.90,100.00
40,15705134,46567.00,33337.00,3033.00,71.60,9.10
43,13306254,300692.00,261014.00,76735.00,86.80,29.40
44,20924305,53099.00,43616.00,12046.00,82.10,27.60
48,12510605,106261.00,84374.00,79640.00,79.40,94.40
49,10316107,52243.00,38903.00,4973.00,74.50,12.80
50,19102205,324098.00,292496.00,98952.00,90.20,33.80
55,14702128,1135590.00,797776.00,317509.00,70.30,39.80
56,07302C99,229192.00,226239.00,150985.00,98.70,66.70
63,17313105,51920.00,35481.00,4636.00,68.30,13.10
66,19101113,64637.00,50688.00,4438.00,78.40,8.80
67,10304128,97967.00,73909.00,5849.00,75.40,7.90
68,17503408,38858.00,25706.00,13525.00,66.20,52.60
76,22144110,973819.00,693558.00,156605.00,71.20,22.60
80,12306103,77596.00,70501.00,63956.00,90.90,90.70
81,12305310,76933.00,52608.00,39770.00,68.40,75.60
84,12306108,40255.00,39011.00,33479.00,96.90,85.80
85,11705103,211459.00,15903.00,0.00,7.50,0.00
86,17316315,154600.00,84439.00,5916.00,54.60,7.00
87,17514203,34903.00,21197.00,6948.00,60.70,32.80
88,12107709,38071.00,31709.00,13835.00,83.30,43.60
89,14701401,44658.00,37487.00,21425.00,83.90,57.20
90,10326102,185250.00,77627.00,14739.00,41.90,19.00
91,12103104,157699.00,141249.00,74391.00,89.60,52.70
93,11908844,58239.00,47296.00,27820.00,81.20,58.80
94,14920356,45178.00,30780.00,7450.00,68.10,24.20
95,12306116,7629.00,6154.00,5930.00,80.70,96.40
97,21127348,5989.00,1331.00,1331.00,22.20,100.00
100,12521107,97394.00,79598.00,70072.00,81.70,88.00
101,19102207,463105.00,364701.00,102038.00,78.80,28.00
104,20516301,540402.00,483196.00,312421.00,89.40,64.70
108,12306301,154437.00,126064.00,105206.00,81.60,83.50
109,17124301,84634.00,34210.00,4249.00,40.40,12.40
110,17512105,182907.00,121980.00,98307.00,66.70,80.60
115,13308115,235327.00,200825.00,52121.00,85.30,26.00
116,11908205,7648.00,4117.00,0.00,53.80,0.00
120,12901625,39896.00,37218.00,10659.00,93.30,28.60
121,12103103,148698.00,119941.00,93401.00,80.70,77.90
123,12901315,55115.00,48373.00,34116.00,87.80,70.50
126,17902237,38506.00,33418.00,14289.00,86.80,42.80
127,12705712,28874.00,16891.00,7095.00,58.50,42.00
128,10509106,1463142.00,545455.00,84704.00,37.30,15.50
132,14920620,49278.00,37963.00,11644.00,77.00,30.70
133,14920620,49278.00,37963.00,11644.00,77.00,30.70
134,18116207,72169.00,23240.00,9997.00,32.20,43.00
136,12107401,7757.00,4906.00,0.00,63.20,0.00
137,16106503,44568.00,32671.00,3017.00,73.30,9.20
138,14903201,89407.00,82182.00,61705.00,91.90,75.10
139,16102711,812883.00,533510.00,154486.00,65.60,29.00
147,22317207,714572.00,511559.00,149923.00,71.60,29.30
150,12703901,256645.00,187795.00,114267.00,73.20,60.80
151,15705138,71788.00,46449.00,4368.00,64.70,9.40
152,12104111,442865.00,339859.00,129434.00,76.70,38.10
